"OTU.ID","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","P01","P10","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P11","P110","P111","P112","P113","P114","P115","P116","P117","P118","P119","P12","P120","P121","P122","P123","P124","P125","P126","P127","P128","P129","P13","P130","P131","P132","P133","P134","P135","P136","P136.shedd","P137","P138","P139","P14","P140","P141","P142","P143","P144","P145","P15","P156","P157","P158","P159","P16","P160","P161","P162","P163","P164","P165","P17","P18","P19","P2","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P3","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P4","P40","P41","P42","P43","P44","P45","P46","P47","P5","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P6","P60","P7","P74","P75","P76","P77","P78","P79","P8","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P9","P90","P91","P92","P93","P94","P95","P96","P97","P98","P99","W01","W02","W07","W08","W09","W12","W13","W14","W15","W16","W17","W18","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W40","W41","W42","W43","W44","W45","W46","W47","W50","W52","W54","W55","W56","W57","Taxonomy"
"2a67819e20bb0ad2301246d9afa983d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae"
"662da1a7eb147c77697c8a5084301c0c",30,36,0,25,22,20,9,0,0,16,13,0,19,39,14,0,0,23,17,3,0,73,63,45,14,73,18,5001,156,1114,3227,2041,1895,159,464,851,149,1246,8380,2075,150,4261,658,60,24,60,36,0,23,8282,41,36,19,32,9237,4737,6183,5760,3474,2597,11484,3475,1123,386,1293,334,1168,8681,0,59,21,0,5597,18,53,0,74,34,27,8427,27,17,23,21,8884,36,36,0,23,0,52,10496,8561,5345,15,4381,6956,10532,5773,8825,5025,1545,6235,1965,3558,19,10908,8149,9758,1671,3656,7880,15170,10434,3676,4451,25,3953,6804,8342,9286,9134,5354,8522,4385,34,3588,3451,922,3546,1883,8055,522,6111,4445,2961,11,5500,0,2006,5518,5947,792,459,8053,2812,2495,1217,440,5244,1633,2416,1439,461,2096,3668,6380,1595,90,5561,1833,1984,1752,420,795,1426,5915,20,60,55,213,16,129,403,87,208,21,102,169,68,160,20,37,115,201,61,58,78,56,27,18,21,25,16,51,20,0,17,13,14,18,26,15,24,0,17,12,13,0,0,"d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus"
"6418ac917e6ce123cd2a13a653969175",138,0,0,4,5,12,4,0,21,106,0,700,3971,3545,2191,2256,162,1301,765,1213,574,444,933,662,693,905,0,24,193,30,64,32,16,65,14,15,24,28,28,109,625,3,11,0,4,0,7,6,55,14,223,6,57,212,8,18,63,78,104,18,29,0,25,16,19,22,0,300,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,177,43,0,54,12,11,93,69,470,12,1398,0,0,0,9,0,4,5,8,21,7,9,7,10,5,545,40,57,250,246,25,343,0,0,0,2,0,0,17,0,2,114,0,9,0,3,0,0,0,0,0,3,0,26,0,3,87,104,63,189,0,0,80,3,15,18,10,36,0,21,5,0,11,7,9,0,0,39,62,0,24,53,10,0,0,13,0,0,13,0,0,9,0,3,0,10,16,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Taibaiella; s__uncultured_bacterium"
"98aa8e6d8d392df9d8af2f6834322762",0,5,0,4,0,0,5,0,0,0,0,0,0,7,0,0,0,2,0,0,0,16,55,10,7,52,0,2830,2608,866,3150,1623,2776,978,4672,5449,2201,242,49,3437,3037,2097,2873,6,0,5,0,0,0,739,0,0,0,0,3597,2062,1386,2093,3227,2519,2189,173,336,3397,1727,2317,1163,1649,0,0,0,0,20,0,0,0,0,0,0,5862,0,0,0,0,154,0,0,0,44,36,0,171,3442,2234,0,782,611,1067,186,5289,4932,361,126,52,8345,0,6993,13137,321,2950,5935,9295,10744,3345,3887,4285,0,421,5205,3667,209,1836,4445,300,5492,0,1029,3355,2312,6964,3352,3978,2707,4839,1428,1446,0,3489,4,1926,2342,2107,262,291,2109,71,1081,368,227,4237,2775,1336,828,524,879,2966,2709,1461,559,3226,107,499,953,950,5824,1082,4505,0,0,0,20,0,9,11,8,40,0,5,8,5,36,0,0,9,31,0,4,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae"
"00236c53d2747267050389c9b69c5c1c",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,17,0,0,7,4,13,12,0,3,0,29,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,0,4,0,"d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__metagenome"
"003848edaab62f92d734168ec46e73d4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,41,0,0,0,0,42,0,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"005ad08b9bc2fa343d6bf7a417a635be",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,20,30,3,0,8,0,0,11,0,0,0,30,0,0,0,4,0,0,13,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio"
"005b4879998d2b14b323ac425990c112",0,0,0,19,0,0,0,0,0,0,0,18,67,106,0,9,25,75,25,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__uncultured_bacterium"
"0094b2c61d90b1856c7856eef583e5ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,61,0,24,38,0,196,0,29,241,0,17,0,0,64,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,64,10,18,0,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"
"00af1d3e8b5619a2b38cc2dafa36b3c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,13,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,64,0,0,0,0,0,0,0,29,0,23,0,0,0,37,0,25,39,35,61,19,50,36,18,0,0,0,0,0,0,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__uncultured"
