sample.ID,date,day,day.number,sample.type,water.type,location,specific,source.ID,captive.wild,dead,age,clutch,mass,CL,CW,PL,PW,H,days.since.previous,mass.diff,CL.diff,CW.diff,PL.diff,PW.diff,H.diff,mass.diff.per.day,CL.diff.per.day,CW.diff.per.day,PL.diff.per.day,PW.diff.per.day,H.diff.per.day,mass.mean.diff.per.day,CL.mean.diff.per.day,CW.mean.diff.per.day,PL.mean.diff.per.day,PW.mean.diff.per.day,H.mean.diff.per.day,days.since.last.measure,shannon,simpson,rich,even,rich.rare.1000,rich.rare.10000,read.depth,date.sc,BCI,year,location.general,type.location.water.type,type.location.gen.water.type,read.depth.sc,specific.wild,specific.year
C01,2018-09-18,Tuesday,NA,cloaca,NA,PW,PW,PW19,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.785516892,0.954176731,163,0.743168931,140.8792475,159.4499007,33968,-1.373978368,NA,2018,Wild,cloaca PW ,cloaca Wild ,0.782616222,PW,2018
C02,2018-09-20,Thursday,NA,cloaca,NA,PW,PW,1L8R9R,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.260236571,0.933542978,119,0.682182952,107.504069,118.1410409,19537,-1.362376232,NA,2018,Wild,cloaca PW ,cloaca Wild ,-0.980034814,PW,2018
C03,2018-09-20,Thursday,NA,cloaca,NA,PW,PW,1L3R8R,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.942060275,0.917946929,86,0.660491892,78.73247508,85.68143258,14269,-1.362376232,NA,2018,Wild,cloaca PW ,cloaca Wild ,-1.62348611,PW,2018
C04,2018-09-20,Thursday,NA,cloaca,NA,PW,PW,1L2L12L,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.322724029,0.929025665,107,0.711073345,90.20696095,103.3796514,30067,-1.362376232,NA,2018,Wild,cloaca PW ,cloaca Wild ,0.306134919,PW,2018
C05,2018-10-11,Thursday,NA,cloaca,NA,PW,PW,PW70,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.331912205,0.918546262,130,0.684517437,113.3966134,127.2195364,28116,-1.240553803,NA,2018,Wild,cloaca PW ,cloaca Wild ,0.067833195,PW,2018
C06,2018-10-11,Thursday,NA,cloaca,NA,PW,PW,PW11,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.426443207,0.941072817,126,0.708487072,111.1147414,123.7957161,32478,-1.240553803,NA,2018,Wild,cloaca PW ,cloaca Wild ,0.600622595,PW,2018
C07,2018-10-11,Thursday,NA,cloaca,NA,PW,PW,PW17,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.288370987,0.930404824,100,0.714060687,92.20160992,99.49461025,18918,-1.240553803,NA,2018,Wild,cloaca PW ,cloaca Wild ,-1.055641562,PW,2018
C08,2019-02-21,Thursday,C7,cloaca,NA,Cosley,tub1a,06-84-male-100870,captive,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.241520876,0.93861528,87,0.725836894,79.95134059,86.32667427,16786,-0.469011749,NA,2019,Cosley,cloaca Cosley ,cloaca Cosley ,-1.316051237,tub1a,tub1a
C09,2019-02-21,Thursday,C7,cloaca,NA,Cosley,tub1b,07-60-male,captive,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.949698247,0.907762198,90,0.655516225,79.96785116,88.81414663,25565,-0.469011749,NA,2019,Cosley,cloaca Cosley ,cloaca Cosley ,-0.243754553,tub1b,tub1b
C10,2019-02-21,Thursday,C7,cloaca,NA,Cosley,tub2,06-100- male-1000821,captive,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.042801075,0.896274585,109,0.648598474,95.1476548,106.7728353,30055,-0.469011749,NA,2019,Cosley,cloaca Cosley ,cloaca Cosley ,0.304669198,tub2,tub2
C11,2019-02-21,Thursday,C7,cloaca,NA,Cosley,tub3,05-137-male-100966,captive,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.868294173,0.894822423,92,0.634327352,84.03834473,91.21639867,29006,-0.469011749,NA,2019,Cosley,cloaca Cosley ,cloaca Cosley ,0.176540799,tub3,tub3
C14,2019-06-05,Wednesday,NA,cloaca,NA,PW,marsh1,PW54,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.561696803,0.949580801,115,0.75063177,105.2674241,113.5280482,21562,0.13429933,NA,2019,Wild,cloaca PW ,cloaca Wild ,-0.73269448,PW,2019
C15,2019-06-05,Wednesday,NA,cloaca,NA,PW,marsh1,PW19,wild,N,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.697190782,0.942927839,148,0.739850657,133.0524248,145.3632425,26389,0.13429933,NA,2019,Wild,cloaca PW ,cloaca Wild ,-0.143108412,PW,2019
