"OTU.ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"c70c9fd1a4a7c224d3a416bf9376b4b6","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","alpha_proteobacterium"
"8d2493f876e0485c00cae0dbf2280402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aquamicrobium","Aquamicrobium_sp."
"0206d196fa2c1cc99e794c9cb9062ef5","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","bacterium_ASC802"
"9d0cc692e0f43174c69015dc72a2a241","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","bacterium_enrichment"
"edd8e0db039abe92801637b6aa7e931f","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","bacterium_enrichment"
"f3baa0abc461e96b252a3662f051f5e8","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","bacterium_enrichment"
"9b8773872005cd5abf8df40adb5a46be","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009","bacterium_NLAE-zl-C231"
"ff4177593f136e2493a44b7fab685a90","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_2","bacterium_NLAE-zl-G122"
"5ee2e8e839639b505bafe5c9d2359b94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp."
"74a0587101274b5e50cf9fe481083620","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp."
"7889ee671d5ab256f0789fabe1a2f359","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp."
"bd3d7abf950f7d506beff822486329ac","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp."
"1197ce5fe91f9cce6a80173a6648a54c","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_exovorus"
"456df810e6cb08ab03e07ec0764ba68d","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_exovorus"
"cc689820bc107161211718172ed7e7ab","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_exovorus"
"dceecd733b6968925e42d4c7055a5a31","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","Bergeyella_sp."
"65f7c9e52fc38d16766fdd3b9ba99a9e","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","MSBL7","bioreactor_metagenome"
"9c6bb28ca7f15b9b9c4b578d0b1ab2b5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","Brachymonas_denitrificans"
"2513ea5d1909b55753952b492321621d","Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Abawacabacteria","Candidatus_Abawacabacteria","Candidatus_Abawacabacteria","Candidatus_Abawacabacteria"
"10f2c5769412f6916d74ec6e8c047271","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Finniella","Candidatus_Finniella"
"694b25e10dae22af34a4792331a56327","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Finniella","Candidatus_Finniella"
"6ed80b241747340b7c9f55e9afd4c126","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Finniella","Candidatus_Finniella"
"d0affdeb57d0dd0fa43bda4167679585","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Ryanbacteria","Candidatus_Ryanbacteria","Candidatus_Ryanbacteria","Candidatus_Giovannonibacteria"
"b4fbe2dc53a8974ddbe11827e04de49c","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria"
"bada6470625dcf884b0a853c67501b7d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga_stomatis"
"624d310b3f1908c0034d3c6537279d4f","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae","Chitinimonas","Chitinimonas_taiwanensis"
"f08dfc65f6df7a073a9dabf4f89b6cc6","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6","Chlamydiales_bacterium"
"2e438740690d7536b71a9c60a65b4222","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Chlorobi_bacterium"
"ce78da706fe2a24aa82d9eb398b0070e","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Chlorobi_bacterium"
"f56db2ba4967d3281af5ee60e9bf9950","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Chlorobi_bacterium"
"1db68c3aa0bd1ba8fcbd4f6e64d75afb","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloronema","Chloroflexaceae_bacterium"
"914dcc96f7ac142206c2a43787e8d050","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcidiopsis_PCC-6712","Chroococcidiopsis_sp."
"0a9761d1e4461cc054498b6ee56206dc","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcopsis","Chroococcopsis_gigantea"
"f824e26614ef0aba937cc7cea8020b82","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcopsis","Chroococcopsis_gigantea"
"84e986551f039e5a43c43bb6a36751ec","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_koreense"
"278f53784fdd4a6a5c3c20cf16551396","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_taklimakanense"
